"asn_number","organization_name","organization_country","rir_registry","asn_type","is_known_hosting","is_known_vpn","first_seen","last_seen","unique_ip_count","total_session_count","enrichment","enrichment_updated_at","created_at","updated_at"
215898,"Saganetwork Telekomunikasyon A.S.","TR",NULL,NULL,False,False,"2025-11-06 19:01:02.561644+00","2025-11-06 19:01:02.561644+00",0,0,"{}",NULL,"2025-11-06 19:01:02.561644+00","2025-11-06 19:01:02.561644+00"
215925,"Vpsvault.host Ltd","US",NULL,NULL,False,False,"2025-11-06 19:03:25.135246+00","2025-11-06 19:03:25.318764+00",0,0,"{}",NULL,"2025-11-06 19:03:25.135246+00","2025-11-06 19:03:25.318764+00"
215929,"Data Campus Limited","DE",NULL,NULL,False,False,"2025-11-06 19:01:18.357135+00","2025-11-06 19:01:18.388721+00",0,0,"{}",NULL,"2025-11-06 19:01:18.357135+00","2025-11-06 19:01:18.388721+00"
216023,"East Stark-tv LLC","UZ",NULL,NULL,False,False,"2025-11-06 19:01:44.04227+00","2025-11-06 19:01:44.04227+00",0,0,"{}",NULL,"2025-11-06 19:01:44.04227+00","2025-11-06 19:01:44.04227+00"
216046,"Tele.Co.Albania SHPK","AL",NULL,NULL,False,False,"2025-11-06 19:03:05.80534+00","2025-11-06 19:03:05.822299+00",0,0,"{}",NULL,"2025-11-06 19:03:05.80534+00","2025-11-06 19:03:05.822299+00"
216054,"Taymaz Gostaran Naghshe Almas Co. ( Ltd )","IR",NULL,NULL,False,False,"2025-11-06 19:01:18.929521+00","2025-11-06 19:01:18.951436+00",0,0,"{}",NULL,"2025-11-06 19:01:18.929521+00","2025-11-06 19:01:18.951436+00"
216063,"24fire GmbH","DE",NULL,NULL,False,False,"2025-11-06 19:02:15.659235+00","2025-11-06 19:02:15.659235+00",0,0,"{}",NULL,"2025-11-06 19:02:15.659235+00","2025-11-06 19:02:15.659235+00"
216071,"Servers Tech Fzco","NL",NULL,NULL,False,False,"2025-11-06 19:01:44.653201+00","2025-11-06 19:03:32.1101+00",0,0,"{}",NULL,"2025-11-06 19:01:44.653201+00","2025-11-06 19:03:32.1101+00"
216099,"Emre Anil Arslan","TR",NULL,NULL,False,False,"2025-11-06 19:02:20.95082+00","2025-11-06 19:02:20.95082+00",0,0,"{}",NULL,"2025-11-06 19:02:20.95082+00","2025-11-06 19:02:20.95082+00"
216127,"International Hosting Company Limited","DE",NULL,NULL,False,False,"2025-11-06 19:00:21.121514+00","2025-11-06 19:03:33.851578+00",0,0,"{}",NULL,"2025-11-06 19:00:21.121514+00","2025-11-06 19:03:33.851578+00"
216139,"Iron Hosting Centre LTD","NL",NULL,NULL,False,False,"2025-11-06 18:59:27.787826+00","2025-11-06 18:59:27.787826+00",0,0,"{}",NULL,"2025-11-06 18:59:27.787826+00","2025-11-06 18:59:27.787826+00"
216154,"Clodo Cloud Service Co. L.L.C","NL",NULL,NULL,False,False,"2025-11-06 19:03:27.492059+00","2025-11-06 19:03:29.374065+00",0,0,"{}",NULL,"2025-11-06 19:03:27.492059+00","2025-11-06 19:03:29.374065+00"
216246,"Aeza Group LLC","RU",NULL,NULL,False,False,"2025-11-06 19:03:23.406162+00","2025-11-06 19:03:23.406162+00",0,0,"{}",NULL,"2025-11-06 19:03:23.406162+00","2025-11-06 19:03:23.406162+00"
216334,"New Hosting Technologies LLC","RU",NULL,NULL,False,False,"2025-11-06 19:01:44.417443+00","2025-11-06 19:03:05.28858+00",0,0,"{}",NULL,"2025-11-06 19:01:44.417443+00","2025-11-06 19:03:05.28858+00"
216475,"NKtelecom INC","NL",NULL,NULL,False,False,"2025-11-06 19:02:22.838309+00","2025-11-06 19:02:22.838309+00",0,0,"{}",NULL,"2025-11-06 19:02:22.838309+00","2025-11-06 19:02:22.838309+00"
262159,"Digital TV CABLE DE EDMUND S.R.L.","BO",NULL,NULL,False,False,"2025-11-06 19:00:52.146496+00","2025-11-06 19:00:52.146496+00",0,0,"{}",NULL,"2025-11-06 19:00:52.146496+00","2025-11-06 19:00:52.146496+00"
262186,"TV AZTECA SUCURSAL COLOMBIA","CO",NULL,NULL,False,False,"2025-11-06 19:01:04.414148+00","2025-11-06 19:01:04.414148+00",0,0,"{}",NULL,"2025-11-06 19:01:04.414148+00","2025-11-06 19:01:04.414148+00"
262191,"LIBERTY NETWORKS DE COLOMBIA S.A.S","CO",NULL,NULL,False,False,"2025-11-06 19:01:12.486984+00","2025-11-06 19:01:12.692279+00",0,0,"{}",NULL,"2025-11-06 19:01:12.486984+00","2025-11-06 19:01:12.692279+00"
262194,"Dese Technologies Argentina S.A.","AR",NULL,NULL,False,False,"2025-11-06 19:01:12.483462+00","2025-11-06 19:01:12.483462+00",0,0,"{}",NULL,"2025-11-06 19:01:12.483462+00","2025-11-06 19:01:12.483462+00"
