"week_start","session_count","total_commands","avg_commands_per_session","total_downloads","total_login_attempts","total_ssh_injections","command_count_delta","vt_flagged_ratio","dshield_flagged_ratio","avg_risk_score"
"2025-07-07 00:00:00+00","21860","11958","0.54702653247941445563","1121","19546","634","9595","0","0.004803293687099725","2.9469350411710887"
"2025-06-30 00:00:00+00","6108","2363","0.38686967910936476752","221","3789","262","-1167","0","0.05239030779305828","2.2544204322200393"
"2025-06-23 00:00:00+00","6229","3530","0.56670412586289934179","245","4228","336","430","0","0.041098089580992134","2.9346604591427195"
"2025-06-16 00:00:00+00","7826","3100","0.39611551239458216202","165","5632","268","-1302","0","0.04165601840020445","1.9562995144390493"
"2025-06-09 00:00:00+00","10134","4402","0.43437931715018748767","266","6500","576","-2248","0","0.05545687783698441","2.1610420367081113"
"2025-06-02 00:00:00+00","12014","6650","0.55352089229232562011","411","9461","903","-1338","0","0.042284001997669386","2.6985183952055935"
"2025-05-26 00:00:00+00","17647","7988","0.45265484218280727602","487","14425","891","3664","0","0.02470674902249674","2.3018076726922423"
"2025-05-19 00:00:00+00","5653","4324","0.76490359101362108615","306","4790","600","-442","0","0.06350610295418362","3.8386697328851937"
"2025-05-12 00:00:00+00","5235","4766","0.91041069723018147087","347","3992","816","-2227","0","0.053104106972301814","4.9474689589302770"
"2025-05-05 00:00:00+00","6868","6993","1.0182003494467094","452","6049","1005","830","0","0.03771112405358183","5.0334886429819453"
"2025-04-28 00:00:00+00","6534","6163","0.94322007958371594735","478","5660","1146","249","0","0.06228956228956229","5.4484236302418121"
"2025-04-21 00:00:00+00","6086","5914","0.97173841603680578377","379","4861","801","-1932","0","0.03384817614196516","4.7058823529411765"
"2025-04-14 00:00:00+00","8920","7846","0.87959641255605381166","439","6548","354","3703","0","0.036210762331838564","4.0470852017937220"
"2025-04-07 00:00:00+00","7501","4143","0.55232635648580189308","346","5555","224","102","0","0.03586188508198907","3.0902546327156379"
"2025-03-31 00:00:00+00","10102","4041","0.40001979805979014057","283","7444","197","2341","0","0.022866759057612353","2.1639279350623639"
"2025-03-24 00:00:00+00","5072","1700","0.33517350157728706625","78","2709","34","-414","0","0.02858832807570978","1.7310725552050473"
"2025-03-17 00:00:00+00","6901","2114","0.30633241559194319664","111","5102","61","-406727","0","0.02260541950441965","1.6374438487175772"
"2025-03-10 00:00:00+00","359898","408841","1.1359913086485615","57478","354532","51637","110612","0","0.03447643498991381","10.1786895175855381"
"2025-03-03 00:00:00+00","289675","298229","1.0295296452921377","41024","283980","39773","-100410","0","0.03135928195391387","8.9762665055665832"
"2025-02-24 00:00:00+00","301688","398639","1.3213618042480974","50852","296430","111638","296674","0","0.02729972687014399","10.8108045397894514"
"2025-02-17 00:00:00+00","99085","101965","1.0290659534742898","17150","96472","47658","100432","0","0","10.8845940354241308"
"2025-02-10 00:00:00+00","4948","1533","0.30982215036378334681","68","2207","96","354","0","0","1.6127728375101051"
"2025-02-03 00:00:00+00","2347","1179","0.50234341712824882829","64","735","58","-1026","0","0","2.6075841499786962"
"2025-01-27 00:00:00+00","3904","2205","0.56480532786885245902","124","1929","138","-2316","0","0","2.9559426229508197"
"2025-01-20 00:00:00+00","5303","4521","0.85253630020742975674","272","3624","214","1043","0","0","3.9468225532717330"
"2025-01-13 00:00:00+00","4083","3478","0.85182463874602008327","175","2664","182","222","0","0","3.9333823169238305"
"2025-01-06 00:00:00+00","5717","3256","0.56952947350008745846","187","3681","180","-1017","0","0","2.8546440440790624"
"2024-12-30 00:00:00+00","5176","4273","0.82554095826893353941","239","3419","164","3058","0","0","3.8871715610510046"
"2024-12-23 00:00:00+00","1345","1215","0.90334572490706319703","51","276","4","-134","0","0","4.3271375464684015"
"2024-12-02 00:00:00+00","2045","1349","0.65965770171149144254","97","1640","0","1077","0","0","3.4621026894865526"
"2024-11-25 00:00:00+00","4417","272","0.06158025809372877519","26","3101","0","122","0","0","0.70636178401630065655"
"2024-11-18 00:00:00+00","2415","150","0.06211180124223602484","13","1442","0","-18767","0","0","1.2173913043478261"
"2024-11-11 00:00:00+00","24396","18917","0.77541400229545827185","1714","22112","0","-37157","0","0","3.9129365469749139"
"2024-11-04 00:00:00+00","43252","56074","1.2964487191343753","3368","39249","0","35941","0","0","6.3136964764635161"
"2024-10-28 00:00:00+00","15672","20133","1.2846477794793262","1045","14290","0",NULL,"0","0","6.2136294027565084"
