"attack_date","session_count","total_commands","avg_commands_per_session","total_file_downloads","total_login_attempts","total_ssh_key_injections","vt_flagged_sessions","dshield_flagged_sessions","avg_duration_seconds","command_count_stddev"
"2025-08-30","427","470","1.1007025761124122","31","283","42","0","10","13.7904346557377049","4.6250668791579100"
"2025-08-29","553","289","0.52260397830018083183","27","350","28","0","23","13.6973004737793852","3.1947555105564058"
"2025-08-28","541","194","0.35859519408502772643","16","267","16","0","19","18.3325494473197782","2.6255272953106591"
"2025-08-27","1010","1013","1.0029702970297030","96","618","100","0","13","15.0605231425742574","4.3450062571573225"
"2025-08-26","857","640","0.74679113185530921820","61","508","58","0","34","17.3612713582263711","3.6926381793842865"
"2025-08-25","842","593","0.70427553444180522565","54","597","56","0","20","10.4737984655581948","3.6774475147354286"
"2025-08-24","503","431","0.85685884691848906561","37","303","38","0","18","14.5971210874751491","4.0168206682440941"
"2025-08-23","1060","1118","1.0547169811320755","99","857","108","0","15","9.5913307632075472","4.4718008927980464"
"2025-08-22","1920","1921","1.0005208333333333","179","1618","186","0","52","9.0237595588541667","4.3550716440834677"
"2025-08-21","350","354","1.0114285714285714","34","189","34","0","6","17.7127408542857143","4.3526345760657414"
"2025-08-20","166","80","0.48192771084337349398","8","145","8","0","5","6.8419071566265060","3.0762489783112141"
"2025-08-19","489","362","0.74028629856850715746","35","426","36","0","3","7.5864870490797546","3.7917123710469404"
"2025-08-16","322","344","1.0683229813664596","36","300","36","0","5","6.1820851211180124","4.4799647078083695"
"2025-08-15","264","286","1.0833333333333333","25","250","28","0","0","4.2965320151515152","4.5905203473646726"
"2025-08-14","58","64","1.1034482758620690","4","48","6","0","2","5.5704579655172414","4.7708532289691533"
"2025-08-13","1144","885","0.77360139860139860140","89","931","92","0","17","6.8936331101398601","3.8466177167059027"
"2025-08-12","2809","1876","0.66785332858668565326","178","2491","184","0","17","5.5396937707369171","3.6011585641458307"
"2025-08-11","2113","1769","0.83719829626123994321","172","1818","178","0","28","7.2068484761003313","4.0033127980287441"
"2025-08-10","1103","720","0.65276518585675430644","62","979","66","0","14","7.5951714043517679","3.5312975906155828"
"2025-08-09","1703","1226","0.71990604815032295948","115","1390","120","0","16","7.0934155149735760","3.7186128834959177"
"2025-08-08","1761","1174","0.66666666666666666667","107","1521","112","0","17","6.0818825848949461","3.5952409621272363"
"2025-08-07","1790","1313","0.73351955307262569832","119","1579","126","0","23","5.8851739156424581","3.7629514618449478"
"2025-08-06","2152","1884","0.87546468401486988848","169","1983","180","0","12","4.8018997890334572","4.0855919541327868"
