Executing Query 13: VPN/Proxy/Tor Anonymization Analysis
Expected runtime: 10-15 seconds
======================================================================
attack_date,total_sessions,vpn_sessions,vpn_ratio,proxy_sessions,proxy_ratio,tor_sessions,tor_ratio,anonymized_sessions,anonymization_ratio,residential_count,datacenter_count,hosting_count,mobile_count,residential_ratio,datacenter_ratio
2025-07-07,33,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-05,846,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-04,877,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-03,921,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-02,707,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-01,1908,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-30,849,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-29,845,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-28,877,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-27,833,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-26,804,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-25,662,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-24,864,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-23,1344,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-22,1077,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-21,933,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-20,1085,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-19,790,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-18,2441,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-17,1003,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-16,497,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-15,617,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-14,993,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-13,1403,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-12,1353,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-11,1383,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-10,1763,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-09,2622,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-08,2714,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-07,1317,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-06,1470,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-05,1347,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-04,1510,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-03,1665,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-02,1991,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-01,1541,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-31,3388,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-30,1216,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-29,8530,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-28,985,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-27,1161,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-26,826,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-25,1051,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-24,622,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-23,817,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-22,871,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-21,775,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-20,667,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-19,850,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-18,576,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-17,577,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-16,748,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-15,644,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-14,686,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-13,643,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-12,1361,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-11,1197,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-10,1550,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-09,136,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-07,1583,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-06,1067,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-05,1335,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-04,930,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-03,1482,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-02,984,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-01,1146,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-30,1316,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-29,676,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-27,134,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-25,985,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-24,1013,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-23,1249,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-22,1327,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-21,1378,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-20,1009,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-19,695,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-18,1433,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-17,2137,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-16,1263,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-15,1176,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-14,1207,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-13,1135,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-12,2971,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-11,1026,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-10,646,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-09,553,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-08,561,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-07,609,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-06,1038,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-05,886,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-04,952,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-03,767,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-02,582,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-04-01,4947,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-31,930,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-30,374,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-29,721,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-28,674,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-27,1085,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-26,1009,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-25,543,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-24,666,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-23,772,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-22,1508,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-21,555,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-20,720,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-19,747,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-18,1939,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-17,660,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-16,26219,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-15,62664,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-14,64035,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-13,62998,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-12,54115,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-11,43394,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-10,46473,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-09,44318,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-08,37862,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-07,37589,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-06,44437,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-05,42373,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-04,43206,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-03,39890,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-02,41884,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-03-01,45101,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-28,46987,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-27,45455,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-26,43442,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-25,37239,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-24,41580,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-23,39461,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-22,42088,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-21,15300,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-20,572,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-19,485,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-18,570,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-17,609,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-16,733,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-15,709,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-14,1291,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-13,720,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-12,548,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-11,943,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-10,4,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-06,551,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-05,586,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-04,699,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-03,511,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-02,535,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-02-01,528,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-31,484,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-30,818,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-29,524,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-28,775,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-27,240,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-26,442,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-25,416,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-24,769,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-23,1225,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-22,734,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-21,972,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-20,745,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-19,456,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-18,363,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-17,602,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-16,591,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-15,785,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-14,597,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-13,689,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-12,702,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-11,873,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-10,844,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-09,649,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-08,750,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-07,1072,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-06,827,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-05,667,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-04,675,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-03,946,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-02,537,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-01-01,1298,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-12-31,409,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-12-30,644,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-12-29,276,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-12-28,223,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-12-27,268,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-12-26,180,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-12-25,260,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-12-24,138,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-12-03,845,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
