snapshot_asn,snapshot_country,snapshot_ip_type,session_count,days_active,avg_commands,avg_duration_sec,total_downloads,total_ssh_injections,asn_concentration,countries_per_asn
3209,DE,,7447,60,1.0337048475896334,2.3863556868537666,847,1152,0.00534280167422612958,1
61173,IR,,7349,87,1.0352428901891414,3.4268427821472309,853,1181,0.00527249221215090993,1
9498,IN,,7335,88,1.2227675528289025,4.1423155814587594,1048,1472,0.00526244800328302141,1
17625,IN,,7265,24,1.1577426015141087,3.5133278145905024,1134,1625,0.00521222695894357881,1
12389,RU,,6847,156,0.98670950781364101066,4.8671503199941580,858,1267,0.00491233557988805012,1
399804,US,,6484,36,1.2216224552745219,1.8137376607032696,971,1308,0.00465190359281351204,1
12876,FR,,6423,67,1.0840728631480617,2.3401299599875448,868,1317,0.00460813953988914063,1
18229,IN,,6377,48,1.1016151795515133,3.4757080421828446,925,1369,0.00457513713932322121,1
37061,KE,,6058,31,0.96814130075932651040,3.6012078060415979,897,1298,0.00434627266583347563,1
18403,VN,,5986,124,1.1807550952221851,4.5360573167390578,849,1128,0.00429461673451290609,1
1267,IT,,5808,63,1.5132575757575758,4.4944929567837466,1018,1448,0.00416691179319260918,1
30083,US,,5780,13,0.24031141868512110727,23.3326467425605536,184,484,0.00414682337545683214,1
36992,EG,,5679,30,1.0688501496742384,2.7441692486353231,829,1199,0.00407436158290992210,1
7713,ID,,5463,102,1.0973823906278602,4.5340154307157240,694,887,0.00391939378894821349,1
11426,US,,5340,41,1.1919475655430712,1.5944865932584270,827,1128,0.00383114823960890720,1
24560,IN,,5277,85,1.1730149706272503,4.8230095891605079,791,1286,0.00378594929970340886,1
4811,XX,,5265,29,0.44349477682811016144,52.0946200862298196,198,337,0.00377733997781664727,1
36925,MA,,5233,32,1.0223581119816549,2.4817658759793617,775,1055,0.00375438178611861637,1
3462,TW,,5080,208,1.4980314960629921,12.2710655669291339,641,718,0.00364461293206240610,1
14061,XX,,5046,75,0.57431629013079667063,2.5290792562425684,344,502,0.00362021985338324827,1
17762,IN,,5032,34,1.1603736089030207,3.7011704330286169,797,1067,0.00361017564451535975,1
23889,MU,,4923,32,1.0406256347755434,4.8216828840138127,711,1052,0.00353197430404394198,1
24757,ET,,4864,114,1.0789473684210526,5.4049893281250000,682,977,0.00348964513810069750,1
15802,AE,,4800,34,1.1435416666666667,4.1020102485416667,728,1034,0.00344372875470463569,1
135905,VN,,4799,70,1.0902271306522192,4.3553592729735362,658,1015,0.00344301131121407222,1
4134,CN,,4746,30,0.40834386852085967130,48.5694682597977244,150,277,0.00340498680621420854,1
270535,BR,,4562,21,1.1310828583954406,2.3061447612889084,721,1038,0.00327297720395053084,1
45820,IN,,4525,63,1.2941436464088398,4.6094778729281768,685,875,0.00324643179479968260,1
137542,BD,,4488,22,1.1448306595365419,4.1660278143939394,709,970,0.00321988638564883437,1
53667,US,,4462,52,1.1687584043030031,4.5692047218735993,593,787,0.00320123285489418426,1
142403,HK,,4455,107,1.0303030303030303,9.0503065497194164,444,578,0.00319621075046024000,1
45899,VN,,4438,136,1.0597115817936007,5.6138361640378549,564,806,0.00318401421112066108,1
138608,SG,,4431,78,1.0882419318438276,4.1958803805010156,502,701,0.00317899210668671682,1
21599,PA,,4318,30,1.0368226030569708,2.5848426104678092,653,909,0.00309792099225304519,1
7018,US,,4265,74,1.1327080890973036,3.6239597188745604,597,788,0.00305989648725318150,1
53006,BR,,4077,28,1.2384105960264901,3.1712222558253618,654,923,0.00292501711102724994,1
8447,AT,,4052,23,1.0488647581441264,2.6359587406219151,579,786,0.00290708102376316329,1
38584,PK,,3938,1,0.00101574403250380904,2.1495107963433215,0,0,0.00282529246583892820,1
132296,IN,,3862,23,1.2817193164163646,3.6227627509062662,621,814,0.00277076676055610480,1
41745,RU,,3648,27,0.06880482456140350877,1.8762000435855263,23,41,0.00261723385357552312,1
38712,BD,,3618,24,1.1799336650082919,4.2151688510226645,564,724,0.00259571054885861915,1
27715,BR,,3586,61,0.84634690462911321807,2.4602676550474066,362,427,0.00257275235716058825,1
268192,BR,,3558,24,0.95278246205733558179,2.7762812380550871,526,649,0.00255266393942481120,1
51167,DE,,3551,78,0.70487186707969586032,4.2355307803435652,276,389,0.00254764183499086694,1
37204,ZW,,3537,21,1.1328809725756291,3.9548468193384224,563,881,0.00253759762612297842,1
